date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,optionid,forward_price,ticker,index_flag,issuer,exercise_style
2025-01-02,2025-01-17,2024-12-27,C,3325000,2538.4,2556,0,1,,157015290,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,3350000,2513.4,2530,0,0,,157015291,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,3375000,2488.5,2506.2,0,0,,157015292,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,3400000,2463.5,2481.2,0,62,,157015293,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,3425000,2438.6,2455.1,0,0,,157015294,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-12,C,3450000,2413.7,2431.2,0,2,,157015295,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,3475000,2388.7,2404.3,0,0,,157015296,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-27,C,3500000,2363.8,2381.5,0,20,,157015297,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2023-11-01,C,3525000,2338.9,2356.6,0,11,,157015298,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2023-11-01,C,3550000,2313.9,2331.4,0,13,,157015299,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2023-11-20,C,3575000,2289,2306.7,0,6,,157015300,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-20,C,3600000,2264.1,2279.6,0,13,,157015301,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2023-11-20,C,3625000,2239.1,2256.8,0,6,,157015302,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,3650000,2214.2,2230.5,0,0,,157015303,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2023-10-25,C,3675000,2189.3,2206.8,0,10,,157015304,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,3700000,2164.4,2182,1,17,,157015305,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-24,C,3725000,2139.4,2155,0,12,,157015306,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-27,C,3750000,2114.5,2131.8,0,1,,157015307,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,3775000,2089.6,2105.1,0,0,,157015308,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-23,C,3800000,2064.6,2080.2,0,49,,157015309,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-28,C,3825000,2039.7,2057.4,0,1,,157015310,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-28,C,3850000,2014.8,2032.5,0,19,,157015311,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,3875000,1989.8,2005.4,0,0,,157015312,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-22,C,3900000,1964.9,1980.5,0,4,,157015313,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2023-11-23,C,3925000,1940,1957.7,0,7,,157015314,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-06-20,C,3950000,1914.7,1930.1,0,6,,157015315,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-28,C,3975000,1890.1,1907.6,0,2,,157015316,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,400000,5456.5,5474,1,20,,157015317,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,4000000,1864.8,1880.3,2229,163861,,157015318,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-23,C,4025000,1840.3,1857.5,0,14,,157015319,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-09-26,C,4050000,1815,1830.5,0,3014,,157015320,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2023-11-03,C,4075000,1790.4,1805.5,0,2,,157015321,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-27,C,4100000,1765.1,1780.6,0,1213,,157015322,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2023-12-28,C,4125000,1740.6,1758.3,0,3,,157015323,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-04-25,C,4150000,1715.7,1733.4,0,337,,157015324,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-04-25,C,4175000,1690.4,1705.8,0,6,,157015325,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-19,C,4200000,1665.8,1683.5,0,1151,,157015326,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-04-25,C,4225000,1640.9,1658.5,0,284,,157015327,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-27,C,4250000,1615.6,1631.1,0,6222,,157015328,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-05,C,4275000,1591.1,1608.2,0,24,,157015329,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-23,C,4300000,1566.2,1583.1,0,773,,157015330,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-07-05,C,4325000,1541.3,1559,0,52,,157015331,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-28,C,4350000,1516.3,1533.4,0,89,,157015332,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-05,C,4375000,1491.4,1509,0,10,,157015333,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-23,C,4400000,1466.5,1482.1,0,934,,157015334,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-12,C,4425000,1441.6,1459.3,0,94,0.456608,157015335,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-23,C,4450000,1416.7,1434.4,0,307,0.465127,157015336,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-16,C,4475000,1391.8,1408.5,0,272,,157015337,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,4500000,1366.5,1382,0,2024,,157015338,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-04,C,4525000,1342,1359.7,0,494,0.469131,157015339,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-28,C,4550000,1316.7,1332.2,0,1125,,157015340,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-16,C,4570000,1297.1,1314.6,0,3,0.439736,163510522,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-16,C,4575000,1292.2,1309.6,0,324,0.444713,157015341,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-16,C,4580000,1287.2,1304.6,0,3,0.441472,163510523,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,4590000,1277.2,1294.8,0,10,0.449474,163510524,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,4600000,1266.9,1282.4,0,1163,,157015342,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4610000,1257.3,1274.7,0,0,0.437329,163510525,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4620000,1247.3,1264.9,0,0,0.443915,163510526,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-09-25,C,4625000,1242.4,1260.1,0,126,0.456273,157015343,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4630000,1237.4,1253.7,0,0,,163510527,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-14,C,4640000,1227.4,1244.8,0,1,0.432286,163510528,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-19,C,4650000,1217.5,1235.2,0,361,0.451498,157015344,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4660000,1207.5,1225.2,0,0,0.446204,163510529,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4670000,1197.5,1215.1,0,0,0.436483,163510530,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-18,C,4675000,1192.2,1207.7,0,1536,,157015345,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4680000,1187.6,1205.1,0,0,0.435582,163482185,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4690000,1177.6,1195.4,0,0,0.442286,163482186,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,4700000,1167.3,1182.8,0,1041,,157015346,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4710000,1157.7,1175.2,0,0,0.428125,163482187,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4720000,1147.7,1165.5,0,0,0.43406,163482188,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-09,C,4725000,1142.8,1159.2,0,873,0.355241,157015347,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-09-12,C,4730000,1137.8,1154.2,0,40,0.350398,163482189,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-09,C,4740000,1127.8,1144.6,0,2,0.38575,163482190,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,4750000,1117.5,1133,0,2562,,157015348,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4760000,1107.9,1125.4,0,0,0.417337,163482191,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4770000,1098,1115.2,0,0,0.408782,163482192,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,4775000,1092.6,1108.1,0,3950,,157015349,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4780000,1088,1105.5,0,0,0.413911,163482193,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4790000,1078.1,1095.5,0,0,0.412065,163482194,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,4800000,1067.7,1083.2,2,3464,,157015350,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4810000,1058.1,1073.6,0,0,,163335770,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-23,C,4820000,1048.2,1065.9,0,4,0.411286,163335771,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-06-20,C,4825000,1043.2,1059.9,0,821,0.376674,157015351,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-12,C,4830000,1038.2,1055.7,0,1,0.401258,163335772,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-02,C,4840000,1028.3,1045.7,0,1,0.399151,163335773,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-18,C,4850000,1018.3,1033.8,0,1323,,157015352,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-02,C,4860000,1008.4,1025.9,0,3,0.397173,163335774,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-02,C,4870000,998.4,1016.2,0,85,0.399284,163335775,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-11,C,4875000,993.4,1010.1,0,1011,0.367006,157015353,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-02,C,4880000,988.5,1005.3,0,124,0.374337,163335776,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4890000,978.5,995.4,0,0,0.372476,163335777,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,4900000,968.2,983.7,0,6305,,157015354,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4910000,958.6,975.5,0,0,0.368513,163335778,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-02,C,4920000,948.7,966.4,0,66,0.386178,163335779,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-26,C,4925000,943.7,960,0,390,0.349386,157015355,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-18,C,4930000,938.7,955,0,1,0.346953,163335780,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4940000,928.8,945.6,0,0,0.362045,163335781,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-23,C,4950000,918.8,933.4,0,2762,,157015356,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,4960000,908.5,923.9,0,0,,163335782,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-22,C,4970000,898.9,915.8,0,4,0.35504,163335783,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-19,C,4975000,894.4,908.2,0,1769,,157015357,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-16,C,4980000,889,906.3,0,1,0.362381,163335784,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,4990000,879,894.1,0,3,0.284579,163335785,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,5000000,869.5,882.5,2440,176020,,157015358,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-30,C,5010000,859.1,875.7,0,57,0.338887,163335786,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-09,C,5020000,849.2,866.1,0,4,0.34423,163335787,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-30,C,5025000,844.2,861.1,0,432,0.34197,157015359,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,5030000,839.2,855.8,0,0,0.333957,163335788,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-09,C,5040000,829,844.4,0,15,0.277103,163335789,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-26,C,5050000,819.8,833.9,0,2077,0.287779,157015360,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-30,C,5060000,809.1,824.4,0,1,0.272191,163335790,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-30,C,5070000,799.4,815.7,0,3,0.317918,163335791,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-13,C,5075000,794.9,808.3,0,1383,0.229305,157015361,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,5080000,789.5,805,0,2,0.29999,163335792,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,5090000,779.5,796.9,10,31,0.330348,163335793,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,5100000,769.6,783.1,0,4505,,157015362,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-09-09,C,5110000,759.7,775.1,0,5,0.293638,163335794,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-18,C,5120000,749.7,765.3,0,4,0.293517,163335795,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-23,C,5125000,745.2,759.3,0,2314,0.279468,157015363,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-12,C,5130000,739.8,756.7,0,2,0.313947,163335796,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,5140000,729.8,745.3,0,17,0.28668,163335797,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,5150000,719.9,733.3,2,4006,,157015364,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-30,C,5160000,710,725.1,0,5,0.27782,163335798,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-12,C,5170000,700,716.9,0,6,0.301457,163335799,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-27,C,5175000,695.5,708.8,0,1215,0.250457,158976215,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-13,C,5180000,690.1,707,0,15,0.299472,163335800,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-31,C,5190000,680.2,695.7,0,7,0.278891,163335801,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,5200000,670.2,683.6,1,9053,0.211805,157015365,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-20,C,5210000,660.3,677.2,0,27,0.290815,163335802,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,5220000,650.4,665.9,0,54,0.271724,163335803,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,5225000,645.9,658.8,0,768,0.239683,158976216,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-14,C,5230000,640.4,657.6,0,1,0.287225,163335804,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-30,C,5240000,630.5,646,0,1,0.265758,163335805,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,5250000,626.7,630,1,2710,0.264003,157015366,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-23,C,5260000,612.4,624.2,0,10,0.258404,163335806,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-09-11,C,5270000,602.2,613.7,0,26,0.244229,163335807,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-27,C,5275000,601.8,605.2,0,887,0.256812,158976217,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,5280000,592,603.8,0,18,0.238344,163335808,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-08,C,5290000,582.3,594.4,0,20,0.246731,163335809,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,5300000,577.1,580.4,11,10212,0.251509,157015367,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-13,C,5310000,562.3,574.1,0,6,0.234296,163335810,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-09-12,C,5320000,552.4,564.3,0,7,0.23386,163335811,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-14,C,5325000,552.3,555.6,0,1721,0.244675,158976218,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-09,C,5330000,542.5,554.3,0,104,0.230795,163335812,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-14,C,5340000,532.9,544.5,0,69,0.233195,163335813,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-26,C,5350000,527.5,530.9,0,1764,0.238383,157015368,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,5355000,517.4,530,0,0,0.226752,166380097,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-15,C,5360000,512.8,524.6,0,67,0.224607,163335814,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,5365000,507.8,519.6,0,0,0.222465,166380098,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-08-19,C,5370000,502.9,515.2,0,68,0.22704,163335815,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-23,C,5375000,502.8,506.2,0,1292,0.232432,158976219,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-15,C,5380000,493.2,505.3,0,53,0.226185,163335816,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,5385000,488.1,499.9,0,0,0.21966,166380099,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-30,C,5390000,482.3,495.1,0,58,0.211777,163335817,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,5395000,478.2,490,0,0,0.217122,165701251,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,5400000,478.2,481.5,0,5328,0.226651,157015369,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-24,C,5405000,468.4,480.2,0,1,0.216152,165701252,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-18,C,5410000,463.6,475.4,0,70,0.217121,163335818,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,5415000,458.5,470.3,0,0,0.213398,165701253,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-09-18,C,5420000,452.5,465.4,0,41,0.203719,163335819,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-06,C,5425000,453.6,456.9,0,1734,0.220898,158976220,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-28,C,5430000,443.9,456.1,0,145,0.215434,163335820,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,5435000,438.5,450.5,0,0,0.206217,165701254,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-04,C,5440000,434.2,445.8,0,77,0.211006,163335821,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,,C,5445000,428.7,440.9,0,0,0.206121,165701255,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,5450000,429,432.4,4,3421,0.215063,158976221,,SPX,1,CBOE S&P 500 INDEX,E
